id,name,description,category,owner name,location,Label1,Label2
2291087320960582,"2019臺南「張老師
」青少年自我挑戰營","【❤臺南張老師青少年自我挑戰營 熱烈招生中❤】 
這個暑假絕～不能錯過的優質營隊，
帶給您精心設計的
活動學習團隊精神、機智冒險、人際溝通，
解開青少年的特質密碼，發掘潛能，展現五力！
↓↓三人團體報名
即享八折優惠↓↓
《我要報名》https://is.gd/D3gGfJ

☎️若有任何疑問請洽承辦人
－許小姐06-2909143轉32
",人際交流,,臺南張老師中心,"中學(12歲~14歲), 高中(15歲~18歲)","中學(12歲~14歲), 高中(15歲~18歲)"
2292319830791031,"2019清大吉他營-
弦·吉逸致Summe
r Guitar c
amp",2019清大吉他營 GOGO,,"2019清大吉他營-
弦·吉逸致Summe
r Guitar c
amp","國立清華大學Nati
onal Tsing
 Hua Unive
rsity",大學(18歲~22歲),大學(18歲~22歲)
2295223424132574,"IMaker 仲夏星
空夜程式科學營","iMaker 仲夏星空夜程式科學營
2019年一起學習",手工藝、適合兒童參與,Maker 3DP,Maker 3DP,"小學(6歲~11歲), 中學(12歲~14歲)",小學(6歲~11歲)
2304016119655444,"Drama英文戲劇營
天生我材","雙語時代來臨，讓DRAMA英文戲劇營，幫助孩子在戲劇中學習英語，同時藉著戲劇，讓孩子增加表現力，又能
學習戲劇中各國文化，讓孩子輕輕鬆鬆學會美語。
",適合兒童參與,,雄雄夢想家,"
幼兒園(0歲~5歲), 小學(6歲~11歲)",小學(6歲~11歲)
2323251514600609,"你是我的英雄-汪汪隊
立大功之毛毛","《整個八月都是父親節》

八月份最重要的節日就是爸爸節了，
讓我們一起來玩爸̶爸̶吧！（誤～）

課
程二：
🚒你是我的英雄🚒-汪汪隊立大功之毛毛

學習重點🔑🔑🔑
☑️全身立體蛋糕裁切
☑️
側面狗嘴及臉部輪廓如何表現
☑️ 不失敗不黏手手塑型巧克力製作（示範）
☑️超立體消防帽及配件製作

☑️不走鐘五官定位

㊙️本課程難度較高，新手不怕，只要你願意，老師手把手指導

時間：
下午14:
00～17:00（或做完為止）

註：
1. 本課程以造型蛋糕製作為主，使用老師預先準備好的黃金戚風
蛋糕體及植物性鮮奶
2. 蛋糕體不示範不實作不提供配方
3. 為確保課程進行流暢，鮮奶油會事先打好，
課程中會口述說明
4. 任何相關疑問課中課後均可提出，老師提供該造型課後保固
5. 示範的塑型巧克力
會分享給學員帶回，到家就可練習

上課地點：
新北市新莊區龍安路

🅿️有收費停車場開車免煩惱
?
?捷運丹鳳站1號出口轉乘公車六站
🚕不開車不坐捷運不搭公車也有小黃

小班教學，
一人開課，
四人
額滿，
絕不流班。

歡迎私訊洽詢報名。",手工藝,,"Jw揪愛手工專賣~~
維尼手作~~","大學(18歲~22歲), 壯年(24-39歲), 中年(40-64歲)","幼兒園(0歲~5歲),小學(6歲~11歲)"
2331264903576345,"6/6-6/7邀請大
家一起為「立委蘇震清
（阿忠）龍舟隊」加油","為立法委員蘇震清龍舟隊加油
6/6賽程
13:30-14:00
立委蘇震清服務處vs四三砲",體育,"黃俊嵐「東港的事、我
們的事」",東港河堤,"壯年(24-39歲), 中年(40-64歲), 老年(65歲以上)","壯年(24-39歲), 中年(40-64歲)"
2335017076713470,幸福夫妻營,"激情可瞬間點燃、幸福卻無法自然
提昇夫婦幸福感，牽手來幸福滿滿
佳美幸福夫妻營，共創美美的未來

課
程內容：
愛的表達，原生家庭，男女特質，傾聽溝通，親暱與性，健康的界線，面對衝突，合一盟約，不入誘惑
，行動與計畫。",人際交流,"社團法人台灣佳美生命
建造協會","新竹國賓大飯店(30
060新竹市東區中華
路二段188號，03
-5151111)","壯年(24-39歲), 中年(40-64歲)","壯年(24-39歲), 中年(40-64歲), 老年(65歲以上)"
2338812246400300,暑期學生聯合研習營,"一年一度的暑期學生聯合研習營報名如火如荼地展開了，
如果還沒有報名的同修，儘速報名喔！
詳情請洽各德
建青班主任，
或與粉絲專頁洽詢。",宗教信仰,寶光建德天臺建青,六龜神威天台山,"中學(12歲~14歲), 高中(15歲~18歲)","中學(12歲~14歲), 高中(15歲~18歲)"
2342024109166171,"2019fun心玩暑
期營 - 人際關係學
習營","#請分享 👼牧區、慕道新朋友的爸爸媽媽，歡迎帶寶貝來參加
.
2019FUN心玩暑期營｜人際關係學
習營
.
人際不NG，玩出好關係
透過好玩的體驗活動，引導反思與討論，在聖經的教導中，學習與人想處的
能力。
.
▌升小三-升小六 ▌
營會時間：7/10 (三) ~ 7/12 (五)
　　　　　早上9
：00 ~ 下午17：00
參加對象：升國小三年級到升國小六年級學生
營會人數：40人 (額滿為止)

營會地點：新竹旌旗教會
.
.
.
★報名日期：4/20 (六) ~ 6/30 (日)
　　　　　
　下午１５：００起不受理報名
★報名階段及收費標準：
　　　　原價 $2300 元
　早鳥優惠價 $
1800 元；5/26 (日)前完成報名
　　　手足價 $1500 元／人；親手足須同時報名
持有中
低收入戶證明欲報名者，請洽聯絡窗口
費用包含：餐點／手冊／活動教材道具／師資／營會禮物
.
.
.

★退費原則
1. 於6/30 (日)前酌收報名費10%之行政手續費，逾期恕不退款亦無法保留。
2. 
手足價報名如其中一人退費，取消優惠價，參加者須以原價收費。
3. 退款方式以匯款優先，扣除手續費後退
款。
4. 如遇重大事故請事先告知，並於營會後一週內完成退款申請，逾期視同放棄退費。
.
.
.
?
? 詳情請見報名表或請洽行政辦公室
新竹市東區民權路266號2樓
聯繫窗口：婷婷姊妹☎️ 03-54
23843
.
#新竹旌旗教會
#兒童暑期營 #人際關係學習營
#請按讚 👍頌讚歸榮耀給阿爸天父，
我們的神吧!","人際交流、適合兒童參
與",新竹旌旗教會,新竹旌旗教會,小學(6歲~11歲),小學(6歲~11歲)
2346446332140308,"用九兔兔日_啵啵妮的
森林部防衛隊","園長號召森林部防衛隊，準備出動囉！我們的任務是了解森林生態、還有愛護家園的重要性，快跟著啵啵妮一起踏
上探險之旅吧！

啵啵樂園9月兔兔日邀請到擅長主題式教學、受樂園家長歡迎的◀瘋。塗鴉--阿寶老師▶藉
由📖樹懶的森林📖繪本故事引導，開發幼兒對於森林生態保育的認知，再邀請親子參與集體創作，用秋季色彩
種下一顆顆大樹，彷彿置身於啵啵妮與小動物們最愛的多彩森林中，歡迎一起來森~呼~吸~ 

🧡 亮點：
森林✖繪本✖創作
🧡 時間：9/22(日)15:30-16:30
🧡 年齡：3歲以上，歡迎親子共
同參與
🧡 費用：$322
🧡 地點：啵啵樂園一號基地
                 桃園市
桃園區中正路1202號(藝文特區旁)","園藝、適合兒童參與、
繪畫","Bo Bonny啵啵
樂園","Bo Bonny啵啵
樂園","幼兒園(0歲~5歲), 小學(6歲~11歲)","幼兒園(0歲~5歲), 小學(6歲~11歲)"
2310066632442842,"10/6 & 12/
15『悟寶兒童營』 
讓小朋友過一個充實又
好玩的悟寶營。","文山辦事處『悟寶兒童營』讓小朋友過一個充實又好玩的悟寶營。課程活潑有趣，歡迎廣邀，名額有限，敬請把握
！
【報名須知】敬請透過網路報名， 報名網址：https://bit.ly/2NdYix5 
洽詢電
話：孫美文師姐 0937017396
【報名對象】國小一、二、三年級學童
【活動日期】108/10/
06 (週日) 、 108/12/15 (週日)  二次課程
【活動時間】(13:30 pm報到、上
課時間:14:00 pm~17:00 pm) 
【活動地點】文山辦事處 (臺北市文山區和興路52巷9
-3號1樓) 電話: 02-2236-4380知客服務週一至五 9:00~12:00","遊戲、適合兒童參與、
志工服務",,法鼓山文山辦事處,小學(6歲~11歲),小學(6歲~11歲)
